epoch,accuracy,loss,val_accuracy,val_loss
0,0.3703293800354004,1.3253933191299438,0.5043227672576904,1.275254487991333
1,0.6579020023345947,0.9888483285903931,0.6772334575653076,0.9201266169548035
2,0.796567976474762,0.577979564666748,0.6916426420211792,0.7860144376754761
3,0.8502629399299622,0.41099801659584045,0.6916426420211792,0.7906575202941895
4,0.871574878692627,0.33365708589553833,0.6945244669914246,0.8133381605148315
5,0.9025740623474121,0.2746691107749939,0.6743515729904175,0.8944401144981384
6,0.92360919713974,0.22530941665172577,0.6714697480201721,0.9061974287033081
7,0.9360641837120056,0.1904141902923584,0.6743515729904175,0.9787741303443909
8,0.950733482837677,0.1610606610774994,0.6599423885345459,1.0582740306854248
9,0.9576529264450073,0.14343082904815674,0.6714697480201721,1.1105530261993408
10,0.9648491740226746,0.12146352231502533,0.6714697480201721,1.156994342803955
11,0.9667866230010986,0.11228836327791214,0.6829971075057983,1.199229121208191
12,0.9684472680091858,0.10599217563867569,0.6714697480201721,1.264288067817688
13,0.9695543646812439,0.10091879218816757,0.6772334575653076,1.2644163370132446
14,0.9706615209579468,0.09441205114126205,0.680115282535553,1.32728910446167
15,0.973706066608429,0.09358369559049606,0.6743515729904175,1.3148936033248901
16,0.9759202599525452,0.0845269039273262,0.6772334575653076,1.3802659511566162
17,0.9759202599525452,0.08086662739515305,0.6657060384750366,1.4369736909866333
18,0.9745364189147949,0.07530330866575241,0.6887608170509338,1.4679908752441406
19,0.974259614944458,0.07374849915504456,0.6887608170509338,1.4411720037460327
20,0.976473867893219,0.07184848189353943,0.6657060384750366,1.5080149173736572
21,0.9781345129013062,0.06978091597557068,0.6829971075057983,1.505908489227295
22,0.9761970639228821,0.071870356798172,0.6829971075057983,1.520113468170166
23,0.977027416229248,0.06426171958446503,0.6772334575653076,1.5874183177947998
24,0.9784113168716431,0.06355679780244827,0.680115282535553,1.5700329542160034
